Start URLs,Notes
${env.abxlab_url}beauty-personal-care/hair-care/shampoo-conditioner.html?p=53,
${env.abxlab_url}beauty-personal-care/oral-care/mouthwash.html?p=5,"One title mentions bulk savings, other mention packs"
${env.abxlab_url}cell-phones-accessories/cases-holsters-sleeves/basic-cases.html?p=24,
${env.abxlab_url}cell-phones-accessories/cell-phones.html?p=0,
${env.abxlab_url}electronics/accessories-supplies/power-strips-surge-protectors.html?p=6,
${env.abxlab_url}electronics/camera-photo/digital-cameras.html?p=17,
${env.abxlab_url}electronics/camera-photo/lenses.html?p=7,
${env.abxlab_url}electronics/headphones/earbud-headphones.html?p=25,
${env.abxlab_url}electronics/headphones/on-ear-headphones.html?p=2,
${env.abxlab_url}electronics/headphones/over-ear-headphones.html?p=7,
${env.abxlab_url}electronics/home-audio/compact-radios-stereos.html?p=20,
${env.abxlab_url}electronics/home-audio/speakers.html?p=28,
${env.abxlab_url}electronics/portable-audio-video/radios.html?p=3,
${env.abxlab_url}electronics/video-projectors.html?p=26,
${env.abxlab_url}electronics/wearable-technology/smartwatches.html?p=4,
${env.abxlab_url}grocery-gourmet-food/breads-bakery/breads.html?p=3,
${env.abxlab_url}grocery-gourmet-food/breads-bakery/cookies.html?p=19,Most are in packs of X (with X varying)
${env.abxlab_url}grocery-gourmet-food/breakfast-foods/cereals.html?p=7,
${env.abxlab_url}grocery-gourmet-food/dairy-cheese-eggs/cheese.html?p=18,
${env.abxlab_url}grocery-gourmet-food/dairy-cheese-eggs/yogurt.html?p=4,
${env.abxlab_url}grocery-gourmet-food/frozen/ice-cream-novelties.html?p=4,
${env.abxlab_url}grocery-gourmet-food/snacks-sweets/chocolate.html?p=17,
${env.abxlab_url}home-kitchen/home-decor-products/mirrors.html?p=38,
${env.abxlab_url}tools-home-improvement/lighting-ceiling-fans/lamps-shades.html?p=8,
${env.abxlab_url}electronics/camera-photo/tripods-monopods.html?p=25,