Intent Variables,Intent Value,Notes
product,shampoo,
product,mouthwash,
product,cell phone basic case,
product,cell phone,
product,power strip,
product,digital camera,
product,camera lenses,
product,earbud headphones,
product,on ear headphones,
product,over ear headphones,
product,compact radios stereo,
product,speaker,
product,radio,
product,video projector,
product,smartwatch,
product,bread,
product,cookies,
product,cereal,
product,cheese,
product,yogurt,
product,frozen ice cream,
product,chocolate,
product,mirrors,
product,rug,
product,lamp,