category,group_size,product1_name,product1_url,product1_price,product1_rating,product1_reviews,product2_name,product2_url,product2_price,product2_rating,product2_reviews,product3_name,product3_url,product3_price,product3_rating,product3_reviews
Lenses,3,Canon EF 75-300mm f/4-5.6 III USM Telephoto Zoom Lens for Canon SLR Cameras,${env.abxlab_url}canon-ef-75-300mm-f-4-5-6-iii-usm-telephoto-zoom-lens-for-canon-slr-cameras.html,136.9,80.0,12,7artisans 7.5mm f2.8 II Manual Fisheye Lens Compatible with MFT M4/3 Mount Cameras GM1 GM5 GM7 GX1 GX7 GX8 EPM1 EPM2 E-P1 E-P2 E-P3 E-P5 E-M1 E-M1II E-M5 E-M5II,${env.abxlab_url}7artisans-7-5mm-f2-8-ii-manual-fisheye-lens-compatible-with-mft-m4-3-mount-cameras-gm1-gm5-gm7-gx1-gx7-gx8-epm1-epm2-e-p1-e-p2-e-p3-e-p5-e-m1-e-m1ii-e-m5-e-m5ii.html,139.0,83.0,12,Panasonic Lumix G H-H020 20mm f/1.7 Aspherical Pancake Lens for Micro Four Thirds Interchangeable Digital SLR Cameras,${env.abxlab_url}panasonic-lumix-g-h-h020-20mm-f-1-7-aspherical-pancake-lens-for-micro-four-thirds-interchangeable-digital-slr-cameras.html,158.0,90.0,12
Deodorants & Antiperspirants,3,Mitchum For Women Advanced Control Anti-Perspirant Deodorant Invisible Solid Pure Fresh 2.70 oz (Pack of 6),${env.abxlab_url}mitchum-for-women-advanced-control-anti-perspirant-deodorant-invisible-solid-pure-fresh-2-70-oz-pack-of-6.html,22.18,87.0,12,6 Pack Dove Men + Care Elements Mineral Talc Sandalwood Antiperspirant Spray 150ml,${env.abxlab_url}6-pack-dove-men-care-elements-mineral-talc-sandalwood-antiperspirant-spray-150ml.html,23.59,90.0,2,"Dove Men+Care Antiperspirant hydrating, water-based deodorant Coastal Cedar with our best non-irritant formula 2.6 oz 2 Count",${env.abxlab_url}dove-men-care-antiperspirant-hydrating-water-based-deodorant-coastal-cedar-with-our-best-non-irritant-formula-2-6-oz-2-count.html,23.98,85.0,12
Yogurt,3,"365 by Whole Foods Market, Yogurt Greek Plain Non Fat Organic, 32 Ounce",${env.abxlab_url}365-by-whole-foods-market-yogurt-greek-plain-non-fat-organic-32-ounce.html,25.52,82.0,42,"siggi's Triple Cream Icelandic Strained Yogurt, Vanilla, 4-oz. Single Serve Cup",${env.abxlab_url}siggi-s-triple-cream-icelandic-strained-yogurt-vanilla-4-oz-single-serve-cup.html,25.86,87.0,12,"Fage Total Greek Yogurt, 2%, Honey, 5.3 oz",${env.abxlab_url}fage-total-greek-yogurt-2-honey-5-3-oz.html,28.67,90.0,55
Chocolate,3,"Ethel M. Chocolates Classic Collection Candy Gift Box 16Piece Premium Chocolate Assortment, 14.51 Ounce",${env.abxlab_url}ethel-m-chocolates-classic-collection-candy-gift-box-16piece-premium-chocolate-assortment-14-51-ounce.html,34.98,90.0,12,See's Candies 1 lb Classic Birthday Assorted Chocolates,${env.abxlab_url}see-s-candies-1-lb-classic-birthday-assorted-chocolates.html,36.8,100.0,1,"GODIVA Chocolatier Signature Mini Bars, Set of 6, 8pc Each, Variety Pack- (Roasted Almond Dark Chocolate, 72% Cacao Dark,Salted Caramel Milk Chocolate) By CANDY CABIN",${env.abxlab_url}godiva-chocolatier-signature-mini-bars-set-of-6-8pc-each-variety-pack-roasted-almond-dark-chocolate-72-cacao-dark-salted-caramel-milk-chocolate-by-candy-cabin.html,36.95,100.0,1
Earbud Headphones,3,Wireless Earbuds,${env.abxlab_url}wireless-earbuds.html,62.16,53.0,12,Wireless V5 Bluetooth Earbuds Works for Apple iPhone 12/12 Pro/12 Pro Max/12 Mini with Charging case for in Ear Headphones. (V5.0 Black),${env.abxlab_url}wireless-v5-bluetooth-earbuds-works-for-apple-iphone-12-12-pro-12-pro-max-12-mini-with-charging-case-for-in-ear-headphones-v5-0-black.html,62.69,60.0,4,"SAMSUNG Level U Bluetooth Wireless In-ear Headphones with Microphone, Black Sapphire",${env.abxlab_url}samsung-level-u-bluetooth-wireless-in-ear-headphones-with-microphone-black-sapphire.html,74.95,63.0,12
Wine,3,"BRIANNAS Blush Wine Vinaigrette Dressing, 12 Fl Oz",${env.abxlab_url}briannas-blush-wine-vinaigrette-dressing-12-fl-oz.html,16.0,67.0,12,Fentimans Dandelion & Burdock 275ml,${env.abxlab_url}fentimans-dandelion-burdock-275ml.html,18.18,76.0,10,"Franzia Refreshing White, 5 L",${env.abxlab_url}franzia-refreshing-white-5-l.html,23.93,75.0,4
Pasta & Noodles,3,"YUHO Shirataki Konjac Rice, 8 Pack Inside, Vegan, Low Calorie Food, Gluten Free, Fat Free, Keto Friendly, Low Carbs, Holiday Gifts, Healthy Diet 53.61 Oz (1520 g)",${env.abxlab_url}yuho-shirataki-konjac-rice-8-pack-inside-vegan-low-calorie-food-gluten-free-fat-free-keto-friendly-low-carbs-holiday-gifts-healthy-diet-53-61-oz-1520-g.html,21.99,70.0,12,"YUHO Organic Shirataki Konjac Pasta 8 Pack Inside, Vegan, Low Calorie Food, Fat Free, Keto Friendly, Zero Carbs, Holiday Gifts, Healthy Diet Pasta 53.61 Oz, 8 Rice",${env.abxlab_url}yuho-organic-shirataki-konjac-pasta-8-pack-inside-vegan-low-calorie-food-fat-free-keto-friendly-zero-carbs-holiday-gifts-healthy-diet-pasta-53-61-oz-8-rice.html,22.99,73.0,12,"YUHO Organic Shirataki Konjac Pasta 8 Pack Inside, Vegan, Low Calorie Food, Fat Free, Keto Friendly, Zero Carbs, Holiday Gifts, Healthy Diet Pasta 53.61 Oz, 8 fettuccine",${env.abxlab_url}yuho-organic-shirataki-konjac-pasta-8-pack-inside-vegan-low-calorie-food-fat-free-keto-friendly-zero-carbs-holiday-gifts-healthy-diet-pasta-53-61-oz-8-fettuccine.html,22.99,68.0,12
On-Ear Headphones,3,Sony ZX110NC Noise Cancelling Headphones,${env.abxlab_url}sony-zx110nc-noise-cancelling-headphones.html,44.99,83.0,12,JBL TUNE500BT Wireless On-Ear Headphones with One-Button Remote and Mic (White),${env.abxlab_url}jbl-tune500bt-wireless-on-ear-headphones-with-one-button-remote-and-mic-white.html,45.32,77.0,12,"LEVN Bluetooth Headset with Microphone, Trucker Bluetooth Headset with AI Noise Cancelling & Mute Button, Wireless On-Ear Headphones 60 Hrs Working Time, for Trucker Home Office Remote Work Zoom",${env.abxlab_url}levn-bluetooth-headset-with-microphone-trucker-bluetooth-headset-with-ai-noise-cancelling-mute-button-wireless-on-ear-headphones-60-hrs-working-time-for-trucker-home-office-remote-work-zoom.html,49.99,85.0,11
Toothpaste,3,"Charcoal Toothpaste Xtra Whitening Toothpaste - Zero Waste & Compostable 4.5 oz Glass Bottle by Lucky Teeth - All Natural, Organic, Remineralizes and Fortifies Teeth and Gums. (1 Bottle)",${env.abxlab_url}charcoal-toothpaste-xtra-whitening-toothpaste-zero-waste-compostable-4-5-oz-glass-bottle-by-lucky-teeth-all-natural-organic-remineralizes-and-fortifies-teeth-and-gums-1-bottle.html,29.0,96.0,10,"Close-Up Anticavity Fluoride Toothpaste Gel Cinnamon - 6 oz, Pack of 6",${env.abxlab_url}close-up-anticavity-fluoride-toothpaste-gel-cinnamon-6-oz-pack-of-6.html,29.66,100.0,1,DawnMist Toothpaste .6 oz (Box of 144),${env.abxlab_url}dawnmist-toothpaste-6-oz-box-of-144.html,29.95,100.0,5
Cookies,3,"Mulino Bianco: ""Chicche"" Shortcake filled with cocoa cream - 7.05 Oz (200g) [ Italian Import ]",${env.abxlab_url}mulino-bianco-chicche-shortcake-filled-with-cocoa-cream-7-05-oz-200g-italian-import.html,22.0,65.0,5,Fresh Sicilian Candied Orange Peel - Frank and Sal Bakery.. 1 Pound,${env.abxlab_url}fresh-sicilian-candied-orange-peel-frank-and-sal-bakery-1-pound.html,22.0,73.0,11,"Voortman Bakery Strawberry Wafers 10.6 Ounces (Pack of 4) Baked with Real Strawberries, No Artificial Colors or Flavors, No High-Fructose Corn Syrup",${env.abxlab_url}voortman-bakery-strawberry-wafers-10-6-ounces-pack-of-4-baked-with-real-strawberries-no-artificial-colors-or-flavors-no-high-fructose-corn-syrup.html,22.25,73.0,3
Toothpaste,3,Kingfisher Baking Soda Toothpaste 100ml,${env.abxlab_url}kingfisher-baking-soda-toothpaste-100ml.html,12.84,100.0,3,AHDC Peroxicare Tartar Control Toothpaste Twin Pack - 2x6oz,${env.abxlab_url}ahdc-peroxicare-tartar-control-toothpaste-twin-pack-2x6oz.html,12.97,100.0,3,Curaprox Enzycal toothpaste 1450 ppm by Curaprox,${env.abxlab_url}curaprox-enzycal-toothpaste-1450-ppm-by-curaprox.html,13.9,100.0,3
Artificial Plants & Flowers,3,TOPHOUSE 6pcs Artificial Eucalyptus Leaves Stems Bulk 24.8” Silver Dollar Eucalyptus Artificial Greenery Silk Eucalyptus Plant for Home Wedding Farmhouse Decoration,${env.abxlab_url}tophouse-6pcs-artificial-eucalyptus-leaves-stems-bulk-24-8-silver-dollar-eucalyptus-artificial-greenery-silk-eucalyptus-plant-for-home-wedding-farmhouse-decoration.html,19.99,83.0,12,Faux Eucalyptus Plants in Rustic Rectangular Wood Planter Box Artificial Eucalyptus Greenery Arrangement Potted Plant in Dusty Green for Wedding Centerpiece Office Room Table Windowsill Décor,${env.abxlab_url}faux-eucalyptus-plants-in-rustic-rectangular-wood-planter-box-artificial-eucalyptus-greenery-arrangement-potted-plant-in-dusty-green-for-wedding-centerpiece-office-room-table-windowsill-decor.html,19.99,88.0,12,"Beferr 6Pcs Artificial Eucalyptus Stems Bulk 24"" Faux Flower Stems Tall Eucalyptus Branches Silk Plants Greenery Bouquet for Wedding Home Decor",${env.abxlab_url}beferr-6pcs-artificial-eucalyptus-stems-bulk-24-faux-flower-stems-tall-eucalyptus-branches-silk-plants-greenery-bouquet-for-wedding-home-decor.html,20.99,93.0,12
Lenses,3,VILTROX 56mm F1.4 f/1.4 Autofocus E Lens for Sony E Mount a6300 a6400 a6500 a6600 a7 a7S a7c a7Ⅱ a7RⅡ a7SⅢ a7Ⅲ a7RⅢ a7RⅣ,${env.abxlab_url}viltrox-56mm-f1-4-f-1-4-autofocus-e-lens-for-sony-e-mount-a6300-a6400-a6500-a6600-a7-a7s-a7c-a7-a7r-a7s-a7-a7r-a7r.html,279.0,95.0,5,NIKON NIKKOR Z DX 16-50mm f/3.5-6.3 VR Ultra-Compact Zoom Lens with Image Stabilization for Nikon Z Mirrorless Cameras,${env.abxlab_url}nikon-nikkor-z-dx-16-50mm-f-3-5-6-3-vr-ultra-compact-zoom-lens-with-image-stabilization-for-nikon-z-mirrorless-cameras.html,296.95,98.0,10,"Panasonic LUMIX G MACRO LENS, 30MM, F2.8 ASPH, MIRRORLESS MICRO FOUR THIRDS, MEGA OPTICAL I.S, H-HS030 (USA BLACK)",${env.abxlab_url}panasonic-lumix-g-macro-lens-30mm-f2-8-asph-mirrorless-micro-four-thirds-mega-optical-i-s-h-hs030-usa-black.html,297.99,90.0,12
Digital Cameras,3,Easyshare P880 8 MP Digital Camera with 5.8x Wide Angle Optical Zoom,${env.abxlab_url}easyshare-p880-8-mp-digital-camera-with-5-8x-wide-angle-optical-zoom.html,28.01,87.0,6,Casio High Speed Exilim Ex-ZR700 Digital Camera Black EX-ZR700BK - International Version (No Warranty),${env.abxlab_url}casio-high-speed-exilim-ex-zr700-digital-camera-black-ex-zr700bk-international-version-no-warranty.html,29.54,92.0,12,Canon EOS M100 Mirrorless Digital Camera with 15-45mm Lens (Black) + Essential Photo Bundle,${env.abxlab_url}canon-eos-m100-mirrorless-digital-camera-with-15-45mm-lens-black-essential-photo-bundle.html,29.78,90.0,12
Chocolate,3,Frey (1) Box Ovation Break-A-Parts Ball/Orange Shaped Holiday Candy - Milk Chocolate Raspberry Flavor - Splits Into 20 Pieces - Net Wt. 5.53 oz,${env.abxlab_url}frey-1-box-ovation-break-a-parts-ball-orange-shaped-holiday-candy-milk-chocolate-raspberry-flavor-splits-into-20-pieces-net-wt-5-53-oz.html,10.99,83.0,12,New Japanese KitKat Mini Chocolate Orange 10 Sheets,${env.abxlab_url}new-japanese-kitkat-mini-chocolate-orange-10-sheets.html,10.99,80.0,12,"HERSHEY'S KISSES Milk Chocolate with Almonds Candy, Bulk, 32 oz Party Bag",${env.abxlab_url}hershey-s-kisses-milk-chocolate-with-almonds-candy-bulk-32-oz-party-bag.html,11.17,82.0,10
Breads,3,"Rudi's Organic Bakery Multigrain Oat, 22 oz",${env.abxlab_url}rudi-s-organic-bakery-multigrain-oat-22-oz.html,10.27,70.0,2,Whole Foods Market Cornbread,${env.abxlab_url}whole-foods-market-cornbread.html,11.97,67.0,3,"Mestemacher Natural High Fiber Bread 3 Flavor Variety Bundle: (1) Mestemacher Organic Three Grain Bread, (1) Mestemacher Pumpernickel Bread, and (1) Mestemacher Whole Rye Bread, 17.6 Oz. Ea. (3 Total)",${env.abxlab_url}mestemacher-natural-high-fiber-bread-3-flavor-variety-bundle-1-mestemacher-organic-three-grain-bread-1-mestemacher-pumpernickel-bread-and-1-mestemacher-whole-rye-bread-17-6-oz-ea-3-total.html,12.89,77.0,12
Deodorants & Antiperspirants,3,"Sure Anti-Perspirant & Deodorant Original Solid, Regular Scent 2.70 oz (Pack of 12)",${env.abxlab_url}sure-anti-perspirant-deodorant-original-solid-regular-scent-2-70-oz-pack-of-12.html,29.98,100.0,9,"Sure Original Solid Unscented, Anti-Perspirant Deodorant 2.70 oz (Pack Of 12)",${env.abxlab_url}sure-original-solid-unscented-anti-perspirant-deodorant-2-70-oz-pack-of-12.html,31.19,90.0,12,Nubian Heritage 24 Hour Natural Deodorant Honey And Black Seed 2.25 Oz (pack of 4),${env.abxlab_url}nubian-heritage-24-hour-natural-deodorant-honey-and-black-seed-2-25-oz-pack-of-4.html,31.51,100.0,2
Cheese,3,Mama Francesca Parmesan Asiago & Romano Premium Grated Authentic Italian Cheese (2 Pack) Gluten Free,${env.abxlab_url}mama-francesca-parmesan-asiago-romano-premium-grated-authentic-italian-cheese-2-pack-gluten-free.html,36.0,80.0,12,"Whole Foods Market, Fresh Mozzarella, 8 oz",${env.abxlab_url}whole-foods-market-fresh-mozzarella-8-oz.html,36.4,70.0,12,"French Cow Milk Cheese, Comte AOC - 1 lb",${env.abxlab_url}french-cow-milk-cheese-comte-aoc-1-lb.html,36.45,80.0,4
Earbud Headphones,3,Panasonic RP-HJE125E-W - Ergofit Design Headphones,${env.abxlab_url}panasonic-rp-hje125e-w-ergofit-design-headphones.html,9.99,82.0,9,JVC Gumy HA-F14-A Stereo Earphones HAF14 Peppermint Blue,${env.abxlab_url}jvc-gumy-ha-f14-a-stereo-earphones-haf14-peppermint-blue.html,9.99,82.0,12,"AISPEED Bluetooth Headphones 5.0, Wireless Earbuds Stereo Earphone Cordless Sport Headsets, with Charging Case IPX5 Waterproof Earphones in-Ear Built-in HD Mic Headsets Pink (TWS-i11)",${env.abxlab_url}aispeed-bluetooth-headphones-5-0-wireless-earbuds-stereo-earphone-cordless-sport-headsets-with-charging-case-ipx5-waterproof-earphones-in-ear-built-in-hd-mic-headsets-pink-tws-i11.html,9.99,87.0,12
Cookies,3,"Pillsbury Best Frozen Cinnamon Roll Twirl Dough 5oz, 100ct",${env.abxlab_url}pillsbury-best-frozen-cinnamon-roll-twirl-dough-5oz-100ct.html,133.9,100.0,4,"Otis Spunkmeyer Sweet Discovery Butter Sugar Cookies, 2 Ounce -- 160 per case",${env.abxlab_url}otis-spunkmeyer-sweet-discovery-butter-sugar-cookies-2-ounce-160-per-case.html,136.29,100.0,2,"Keebler Cookies, Chocolate Sugar Wafers (Pack of 144)",${env.abxlab_url}keebler-cookies-chocolate-sugar-wafers-pack-of-144.html,178.38,100.0,1
